Week,Race,"Household experienced loss of employment income since March 13, 2020","Household did not experience loss of employment income since March 13, 2020","Household did report loss of employment income since March 13, 2020",Household expects loss of employment income in next 4 weeks,Household does not expect loss of employment income in next 4 weeks,Household did not report expecting loss of employment income in next 4 weeks,"Total Experienced loss of employment income since March 13, 2020",Total Expected loss of employment income in next 4-weeks,"% Household experienced loss of employment income since March 13, 2020","% Household did not experience loss of employment income since March 13, 2020",% Household expects loss of employment income in next 4 weeks,% Household does not expect loss of employment income in next 4 weeks
10,"\$150,000 - \$199,999",31947,75545,0,19474,88018,0,96046,96046,0.3326218686879204,0.7865501946983737,0.20275701226495638,0.9164150511213377
10,"\$200,000 and above",88136,70069,0,29159,129046,0,146759,146759,0.6005491997083654,0.4774426099932543,0.19868628159090754,0.8793055281107122
11,"Less than \$25,000",536221,150023,0,477679,207926,638,661855,661855,0.8101789666921002,0.22667049429255653,0.7217275687272892,0.3141564239901489
11,"\$25,000 - \$34,999",505986,199284,18858,528888,195240,0,699738,699738,0.7231077917734924,0.28479802440341956,0.7558371847748728,0.2790187184346141
11,"\$35,000 - \$49,999",238743,215325,0,219167,234901,0,429679,429679,0.5556310641199593,0.5011299132608296,0.5100714719592998,0.5466895054214891
11,"\$50,000 - \$74,999",439891,198458,0,403295,235054,0,613960,613960,0.7164815297413513,0.32324255651833994,0.6568750407192651,0.3828490455404261
11,"\$75,000 - \$99,999",227920,233031,0,215275,245676,0,436562,436562,0.5220793381008884,0.5337867244515098,0.49311438008805164,0.5627516824643464
11,"\$100,000 - \$149,999",208935,191365,1403,161046,239931,726,377314,377314,0.5537430363039803,0.5071770461737439,0.4268222223400139,0.6358921216811462
11,"\$150,000 - \$199,999",56520,169204,0,26950,198593,181,201335,201335,0.2807261529291976,0.8404102615044577,0.13385650781036582,0.9863809074428191
11,"\$200,000 and above",83403,109795,0,76173,117025,0,168809,168809,0.4940672594470674,0.6504096345573992,0.4512377894543537,0.6932391045501128
